n,PMID,QID,Type,Question,Human Answer,Model Answer,quote_in_pdf,all_models_wrong,verdict,note
41,31988104,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,yes,False,annotation/convention,paper states PD mutants 'were cloned from clinical plasma samples'; annotation says No
42,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,yes,True,annotation/convention,all 5 models wrong; single-genome sequencing vs annotation 'Yes'
43,40938996,8,Boolean,Were samples cloned prior to sequencing?,Yes  ,Not applicable,NO,False,model error,paper describes cloning into TOPO vector; answered 'Not applicable'
44,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,yes,True,annotation/convention,all 5 models wrong; near-endpoint dilution vs annotation 'Yes'
45,41093949,8,Boolean,Were samples cloned prior to sequencing?,Yes,Not applicable,yes,False,model error,site-directed clones described; GPT-4o conditions answered Yes
46,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),Not applicable,yes,True,annotation/convention,all 5 models wrong; annotation 'Yes (single genome)'
47,30803972,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,yes,False,model error,"out-of-scope: integrase region of plasmid clones, not patient samples"
48,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,yes,True,annotation/convention,all 5 models wrong incl. fine-tuned; lab SDM validation only
49,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Env,yes,True,annotation/convention,"all 5 models wrong; annotation 'NFLG, Envelope' vs gp120/Env"
50,37957382,9,List,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG","PR, RT, IN, CA, Env",yes,False,model error,listed subgenes instead of near-full-length genome; GPT-4o FT correct
51,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",yes,True,annotation/convention,all 5 models wrong; ML paper on PR/RT sequences vs annotation 'Not reported'
52,38427738,9,List,Which HIV genes were reported to have been sequenced?,"Gag, Pol, Env, Nef, vpu","PR, RT, IN, CA, Env",yes,False,model error,gene list mismatch; GPT-4o FT correct
53,40938996,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN, NC, Env","PR, RT, IN, CA, Env",partial,False,model error,gene list mismatch; Kimi and GPT-4o FT correct
54,41004608,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, CA, Env",yes,True,annotation/convention,all 5 models wrong; annotation 'Whole genome' vs listed subgenes
55,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"PR, RT, IN, CA, Env",NO,True,annotation/convention,all 5 models wrong; annotation 'Whole genome' vs listed subgenes
56,30803972,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,yes,False,model error,out-of-scope: Sanger in a table footnote describes plasmid-clone confirmation
57,38427738,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,yes,False,model error,Sanger applies to lab constructs; GPT-4o conditions correct
58,40431710,10,List,What method was used for sequencing?,Sanger,NGS,partial,False,annotation/convention,paper explicitly states NGS; annotation says Sanger
59,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,yes,True,annotation/convention,all 5 models wrong; annotation hedges 'Not stated'
60,31988104,11,List,What type of samples were sequenced?,Not reported,Plasma,yes,False,annotation/convention,linked to row 1 boundary; plasma is stated for the PD clones
61,36659824,11,List,What type of samples were sequenced?,Not reported,Plasma,partial,False,borderline,plasma inferred from routine genotyping; annotation says Not reported
62,36660819,11,List,What type of samples were sequenced?,Not reported,"Plasma, PBMC",partial,False,borderline,plasma/PBMC inferred; annotation says Not reported
63,36795586,11,List,What type of samples were sequenced?,Not reported,Plasma,yes,False,model error,cascade from its own wrong QID 1=Yes
64,36931676,11,List,What type of samples were sequenced?,"Plasma, CSF, PBMC",Not applicable,NO,False,model error,cascade from its own wrong QID 1=No; other models listed the sample types
65,37340869,11,List,What type of samples were sequenced?,Not reported,"Plasma, PBMC",partial,False,borderline,plasma/PBMC inferred; annotation says Not reported
66,37593123,11,List,What type of samples were sequenced?,Plasma,Not applicable,yes,True,annotation/convention,cascade from row 4
67,37817087,11,List,What type of samples were sequenced?,"Serum, Plasma, DBS",Plasma; dried serum/plasma spots,yes,False,scoring artifact,"'Plasma; dried serum/plasma spots' vs 'Serum, Plasma, DBS' - same content, DBS synonym not matched"
68,38314093,11,List,What type of samples were sequenced?,Serum,Plasma,yes,False,borderline,answered Plasma where annotation says Serum; Kimi's 'Plasma (serum)' was accepted
69,31988104,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,yes,False,annotation/convention,linked to row 1 boundary
70,36795586,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,partial,False,model error,cascade from its own wrong QID 1=Yes
71,36931676,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not applicable,partial,False,model error,cascade from its own wrong QID 1=No
72,37573167,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,yes,False,model error,answered Yes where annotation and 3 GPT-4o conditions say No
73,40400229,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes (PrEP),No,NO,False,annotation/convention,annotation is 'Yes (PrEP)'; PrEP breakthrough is not failure on a treatment regimen
74,40779404,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Unknown,Yes,yes,False,annotation/convention,annotation is 'Unknown' - not answerable as scored
75,41088231,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,NO,False,model error,answered Yes; all other models correct
76,37910452,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,yes,False,model error,answered Yes; all other models correct
77,37973713,13,Boolean,Were the patients in the study in a clinical trial?,Yes,No,yes,False,model error,answered No; annotation and 2 GPT-4o conditions say Yes
78,40400229,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,partial,True,annotation/convention,PrEP Impact trial is a trial; annotation says No; all 5 models wrong
79,40431710,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,yes,False,model error,case report; answered Yes
80,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,yes,True,annotation/convention,"annotation is '14' for a yes/no question - data-entry error, unanswerable"
81,36795586,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,partial,False,model error,cascade from its own wrong QID 1=Yes
82,36931676,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,partial,False,model error,cascade from its own wrong QID 1=No
83,37755428,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,partial,False,borderline,annotation says No; Kimi and 2 GPT-4o conditions also said Yes
84,41088231,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?, No,Yes,partial,False,model error,answered Yes; 3 other models correct
85,35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",None,partial,False,model error,answered None though ART classes are described; GPT-4o QSP correct
86,36795586,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTIs; NNRTIs; PIs,yes,False,model error,cascade from its own wrong QID 1=Yes
87,36931676,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",None,yes,False,model error,cascade from its own wrong QID 1=No
88,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTIs,NO,True,annotation/convention,all 5 models wrong; annotation 'Not reported'
89,40839365,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",INSTIs,yes,False,model error,incomplete class list (INSTIs only)
90,40974886,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",NRTIs; INSTIs,partial,False,model error,incomplete class list
91,41088231,15,List,Which drug classes were received by individuals in the study before sample sequencing?,None,"NRTIs, INSTIs",NO,False,model error,annotation 'None'; model listed the post-diagnosis regimen
92,35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",None,partial,False,model error,answered None though drugs are described; GPT-4o QSP correct
93,36851760,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,Lamivudine (3TC); zidovudine (ZDV); abacavir (ABC); nevirapine (NVP); efavirenz (EFV); tenofovir disoproxil fumarate (TDF); emtricitabine (FTC); lopinavir; ritonavir,yes,False,borderline,drugs taken from a regimen table; annotation says Not reported
94,36931676,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,None,partial,False,model error,cascade from its own wrong QID 1=No; answered None
95,37573167,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Enfuvirtide, maraviroc, ritonavir",n/a,False,borderline,drugs taken from a table; annotation says Not reported
96,37574435,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, BIC, FTC, TAF","Lamivudine (3TC), emtricitabine (FTC), abacavir (ABC), zidovudine (AZT), tenofovir disoproxil fumarate (TDF), tenofovir alafenamide (TAF), efavirenz (EFV), nevirapine (NVP), rilpivirine (RPV), atazanavir (ATV), darunavir (DRV), lopinavir (LPV), ritonavir (RTV), dolutegravir (DTG), elvitegravir (EVG), raltegravir (RAL)",yes,False,model error,over-inclusive list of all regimens rather than those before sequencing
97,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,Zidovudine (ZDV),NO,True,annotation/convention,all 5 models wrong; annotation 'Not reported'
98,40779404,16,List,Which drugs were received by individuals in the study before sample sequencing?,TFV (no other ARVs specified; Data in supplementary methods),"Tenofovir (TFV; formulation unspecified), dolutegravir, abacavir, lamivudine",yes,True,annotation/convention,annotation notes 'Data in supplementary methods' - evidence not in the PDF
99,41088231,16,List,Which drugs were received by individuals in the study before sample sequencing?,None,"Bictegravir (BIC), emtricitabine (FTC), tenofovir alafenamide (TAF)",NO,False,model error,"listed the regimen started after diagnosis, not before sequencing"
