PMID,QID,question,evidence,rationale,answer
19104010,2,Does the paper report in vitro drug susceptibility data?,"The paper reports the antiviral activity of GS-9160 in HIV-1-infected MT-2 and MT-4 cell lines as well as in primary human T lymphocytes, and it provides IC50 values for GS-9160 and other compounds.","The paper presents in vitro drug susceptibility data, including IC50 values, to evaluate the antiviral activity of GS-9160 and other compounds.",Yes
19104010,3,Were sequences from the paper made publicly available?,The paper does not provide GenBank accession numbers or mention the deposition of sequences in public databases.,"The paper does not report the deposition of sequences in public databases, and therefore, the sequences are not publicly available.",No
19104010,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.,The paper does not provide GenBank accession numbers for sequenced HIV isolates.,Not reported
19104010,5,How many individuals had samples obtained for HIV sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,0
19104010,6,From which countries were the sequenced samples obtained?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
19104010,7,From what years were the sequenced samples obtained?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
19104010,8,Were samples cloned prior to sequencing?,The paper mentions the use of clonal sequencing of viral passages.,"The paper reports the use of clonal sequencing, which involves cloning prior to sequencing.",Yes
19104010,9,Which HIV genes were reported to have been sequenced?,The paper mentions the sequencing of the IN gene.,"The paper reports the sequencing of the IN gene, but it does not mention the sequencing of other HIV genes.",IN
19104010,10,What method was used for sequencing?,The paper mentions the use of the BigDye terminator v3.1 cycle sequencing kit.,"The paper reports the use of Sanger sequencing, which is consistent with the use of the BigDye terminator v3.1 cycle sequencing kit.",Sanger sequencing
19104010,11,What type of samples were sequenced?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
19104010,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
19104010,13,Were the patients in the study in a clinical trial?,The paper does not mention a clinical trial.,The paper does not provide information suggesting that the study was a clinical trial.,No
19104010,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,No
19104010,15,Which drug classes were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,None
19104010,16,Which drugs were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,None
21115794,1,Does the paper report HIV sequences from patient samples?,The paper does not report HIV sequences from patient samples. It reports the results of in vitro experiments using laboratory strains of HIV.,"The paper does not mention the use of patient samples or the sequencing of HIV from clinical samples. Instead, it describes in vitro experiments using laboratory strains of HIV, such as HIV-1 IIIB and HIV-1 NL432.",No
21115794,2,Does the paper report in vitro drug susceptibility data?,"The paper reports the results of in vitro experiments measuring the susceptibility of HIV to various antiretroviral drugs, including S/GSK1349572, RAL, and EVG.","The paper describes the use of various in vitro assays to measure the susceptibility of HIV to different antiretroviral drugs. These assays include the strand transfer assay, the MT-4 antiviral assay, and the PHIV assay.",Yes
21115794,3,Were sequences from the paper made publicly available?,The paper does not report the deposition of HIV sequences in a public database.,"The paper does not mention the deposition of HIV sequences in a public database, such as GenBank.",No
21115794,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.,"The paper does not report the deposition of HIV sequences in a public database, such as GenBank.",Not reported
21115794,5,How many individuals had samples obtained for HIV sequencing?,0.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples.,0
21115794,6,From which countries were the sequenced samples obtained?,Not applicable.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples.,Not applicable
21115794,7,From what years were the sequenced samples obtained?,Not applicable.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples.,Not applicable
21115794,8,Were samples cloned prior to sequencing?,Not applicable.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples.,Not applicable
21115794,9,Which HIV genes were reported to have been sequenced?,Not reported.,The paper does not report the sequencing of HIV genes from clinical samples.,Not reported
21115794,10,What method was used for sequencing?,Not reported.,The paper does not report the sequencing of HIV genes from clinical samples.,Not reported
21115794,11,What type of samples were sequenced?,Not applicable.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples.,Not applicable
21115794,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not applicable.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples.,Not applicable
21115794,13,Were the patients in the study in a clinical trial?,No.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples. It describes in vitro experiments using laboratory strains of HIV.,No
21115794,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples. It describes in vitro experiments using laboratory strains of HIV.,No
21115794,15,Which drug classes were received by individuals in the study before sample sequencing?,None.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples. It describes in vitro experiments using laboratory strains of HIV.,None
21115794,16,Which drugs were received by individuals in the study before sample sequencing?,Not reported.,The paper does not report the use of patient samples or the sequencing of HIV from clinical samples. It describes in vitro experiments using laboratory strains of HIV.,Not reported
23749954,1,Does the paper report HIV sequences from patient samples?,"The paper does not explicitly state that genetic sequencing, genotypic resistance testing, Sanger sequencing, next-generation sequencing, or single-genome sequencing was performed on clinical samples such as plasma, serum, PBMCs, proviral DNA, or dried blood spots. However, it does mention that cell culture drug selections were performed with various drugs in MT2 cells.","The paper does not provide direct evidence of HIV sequences from patient samples. Instead, it focuses on cell culture drug selections using MT2 cells.",No
23749954,2,Does the paper report in vitro drug susceptibility data?,"The paper states that phenotypic susceptibility testing was performed, and it reports IC50 values for various drugs.",The paper provides evidence of in vitro drug susceptibility data through phenotypic susceptibility testing and IC50 values.,Yes
23749954,3,Were sequences from the paper made publicly available?,The paper does not provide GenBank accession numbers or mention that sequences have been submitted to GenBank or another public database.,The paper does not provide evidence of publicly available sequences.,No
23749954,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.,The paper does not provide GenBank accession numbers.,Not reported
23749954,5,How many individuals had samples obtained for HIV sequencing?,Not reported.,The paper does not provide information on the number of individuals with HIV sequencing.,Not reported
23749954,6,From which countries were the sequenced samples obtained?,Not reported.,The paper does not provide information on the countries where samples were collected.,Not reported
23749954,7,From what years were the sequenced samples obtained?,Not reported.,The paper does not provide information on the years when samples were collected.,Not reported
23749954,8,Were samples cloned prior to sequencing?,"The paper mentions that mutated residues were introduced into the NL4-3 plasmids, suggesting cloning.",The paper provides evidence of cloning through the introduction of mutated residues into the NL4-3 plasmids.,Yes
23749954,9,Which HIV genes were reported to have been sequenced?,The paper mentions the reverse transcriptase (RT) gene and the protease (PR) gene.,The paper provides evidence of RT and PR gene sequencing.,"RT, PR"
23749954,10,What method was used for sequencing?,The paper does not explicitly mention the sequencing method used.,The paper does not provide direct evidence of the sequencing method used.,Not reported
23749954,11,What type of samples were sequenced?,"The paper mentions MT2 cells, which are a type of cell line.",The paper provides evidence of cell line samples.,Cell line
23749954,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not reported.,The paper does not provide information on virological failure or treatment regimens.,Not applicable
23749954,13,Were the patients in the study in a clinical trial?,The paper does not provide information on a clinical trial.,The paper does not provide evidence of a clinical trial.,No
23749954,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,The paper mentions the use of various ARV drugs in cell culture drug selections.,The paper provides evidence of ARV drug use in cell culture.,Yes
23749954,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper mentions the use of N(t)RTIs, including tenofovir, didanosine, stavudine, apricitabine, and abacavir.",The paper provides evidence of N(t)RTI use.,N(t)RTIs
23749954,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper mentions the use of tenofovir, didanosine, stavudine, apricitabine, and abacavir.",The paper provides evidence of specific drug use.,"Tenofovir, didanosine, stavudine, apricitabine, abacavir"
24227862,1,Does the paper report HIV sequences from patient samples?,"The paper does not mention the collection of HIV sequences from patient samples. Instead, it discusses the construction of recombinant HIV-1 NL4.3 clones and the use of site-directed mutagenesis to introduce specific mutations into the RT gene.",The paper does not report HIV sequences from patient samples. It focuses on the construction of recombinant HIV-1 NL4.3 clones and the use of site-directed mutagenesis to introduce specific mutations into the RT gene.,No
24227862,2,Does the paper report in vitro drug susceptibility data?,The paper reports phenotypic susceptibility analyses of RT inhibitors using recombinant HIV-1 NL4.3 clones in a TZM-bl cell-based in vitro assay.,"The paper reports in vitro drug susceptibility data, including the use of a high-throughput short-term viral replication assay in TZM-bl cells to determine the impact of interactions between N348I or M184V/N348I and E138K on susceptibility to the NNRTIs ETR, RPV, EFV, and NVP.",Yes
24227862,3,Were sequences from the paper made publicly available?,The paper does not provide GenBank accession numbers for the sequences generated in the study.,"The paper does not provide GenBank accession numbers for the sequences generated in the study, and there is no indication that the sequences were deposited in a public database.",No
24227862,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.,The paper does not provide GenBank accession numbers for the sequences generated in the study.,Not reported
24227862,5,How many individuals had samples obtained for HIV sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,0
24227862,6,From which countries were the sequenced samples obtained?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
24227862,7,From what years were the sequenced samples obtained?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
24227862,8,Were samples cloned prior to sequencing?,The paper does not report HIV sequences from individuals with HIV.,"The paper does not report HIV sequences from individuals with HIV, so it is not applicable whether samples were cloned prior to sequencing.",Not applicable
24227862,9,Which HIV genes were reported to have been sequenced?,The paper discusses the RT gene.,The paper focuses on the RT gene and the introduction of specific mutations into this gene using site-directed mutagenesis.,RT
24227862,10,What method was used for sequencing?,Not reported.,"The paper does not report HIV sequences from individuals with HIV, so it is not applicable what method was used for sequencing.",Not reported
24227862,11,What type of samples were sequenced?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
24227862,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
24227862,13,Were the patients in the study in a clinical trial?,The paper does not mention a clinical trial.,"The paper does not mention a clinical trial, and the study appears to be a laboratory-based study using recombinant HIV-1 NL4.3 clones.",No
24227862,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,No
24227862,15,Which drug classes were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,None
24227862,16,Which drugs were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,None
25637519,1,Does the paper report HIV sequences from patient samples?,"The paper states that genetic sequencing was performed on clinical samples such as plasma, serum, PBMCs, proviral DNA, or dried blood spots. The paper also mentions that sequencing was done on samples from patients, participants, subjects, blood donors, newly diagnosed or newly infected individuals, PLWH/PWH, or cohorts of individuals with HIV.","The paper reports HIV sequences from patient samples, including plasma, serum, PBMCs, proviral DNA, or dried blood spots. The paper also mentions that sequencing was done on samples from patients, participants, subjects, blood donors, newly diagnosed or newly infected individuals, PLWH/PWH, or cohorts of individuals with HIV.",Yes
25637519,2,Does the paper report in vitro drug susceptibility data?,"The paper states that phenotypic susceptibility testing, phenotypic resistance testing, or a drug susceptibility assay was performed. The paper also reports IC50, EC50, EC90, fold change in susceptibility, or similar measures.","The paper reports in vitro drug susceptibility data, including IC50, EC50, EC90, fold change in susceptibility, or similar measures.",Yes
25637519,3,Were sequences from the paper made publicly available?,"The paper provides GenBank accession numbers in the Methods, Results, a Supplementary Table, or Data Availability statement.","The paper does not provide GenBank accession numbers, so the sequences are not publicly available.",No
25637519,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper does not provide GenBank accession numbers.,"The paper does not provide GenBank accession numbers, so there are no accession numbers to report.",Not reported
25637519,5,How many individuals had samples obtained for HIV sequencing?,The paper does not report the number of individuals who had samples obtained for HIV sequencing.,"The paper does not report the number of individuals who had samples obtained for HIV sequencing, so the answer is not reported.",Not reported
25637519,6,From which countries were the sequenced samples obtained?,The paper does not report the countries from which the sequenced samples were obtained.,"The paper does not report the countries from which the sequenced samples were obtained, so the answer is not reported.",Not reported
25637519,7,From what years were the sequenced samples obtained?,The paper does not report the years from which the sequenced samples were obtained.,"The paper does not report the years from which the sequenced samples were obtained, so the answer is not reported.",Not reported
25637519,8,Were samples cloned prior to sequencing?,The paper does not report whether samples were cloned prior to sequencing.,"The paper does not report whether samples were cloned prior to sequencing, so the answer is not reported.",Not reported
25637519,9,Which HIV genes were reported to have been sequenced?,The paper reports that the RT gene was sequenced.,"The paper reports that the RT gene was sequenced, so the answer is RT.",RT
25637519,10,What method was used for sequencing?,The paper does not report the sequencing method used.,"The paper does not report the sequencing method used, so the answer is not reported.",Not reported
25637519,11,What type of samples were sequenced?,The paper does not report the type of samples sequenced.,"The paper does not report the type of samples sequenced, so the answer is not reported.",Not reported
25637519,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,The paper does not report whether any sequences were obtained from individuals with virological failure on a treatment regimen.,"The paper does not report whether any sequences were obtained from individuals with virological failure on a treatment regimen, so the answer is not reported.",Not reported
25637519,13,Were the patients in the study in a clinical trial?,The paper does not report whether the patients were in a clinical trial.,"The paper does not report whether the patients were in a clinical trial, so the answer is not reported.",Not reported
25637519,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,The paper does not report whether the individuals had previously received ARV drugs.,"The paper does not report whether the individuals had previously received ARV drugs, so the answer is not reported.",Not reported
25637519,15,Which drug classes were received by individuals in the study before sample sequencing?,The paper does not report which drug classes were received by individuals in the study before sample sequencing.,"The paper does not report which drug classes were received by individuals in the study before sample sequencing, so the answer is not reported.",Not reported
25637519,16,Which drugs were received by individuals in the study before sample sequencing?,The paper does not report which drugs were received by individuals in the study before sample sequencing.,"The paper does not report which drugs were received by individuals in the study before sample sequencing, so the answer is not reported.",Not reported
26246578,1,Does the paper report HIV sequences from patient samples?,The paper does not report HIV sequences from patient samples. It reports on the effects of adding common INSTI secondary mutations to an N155H/R263K background in a laboratory setting.,"The paper does not mention the collection of HIV sequences from patient samples. Instead, it focuses on the biochemical and virological characterization of HIV-1 integrase mutations in a laboratory setting.",No
26246578,2,Does the paper report in vitro drug susceptibility data?,The paper reports on the susceptibility of HIV-1 to integrase strand transfer inhibitors (INSTIs) in vitro.,The paper describes the results of experiments assessing the infectivity of NL4.3 viruses harboring the N155H/R263K mutations in the presence of increasing concentrations of INSTIs.,Yes
26246578,3,Were sequences from the paper made publicly available?,The paper does not report the deposition of HIV sequences in public databases.,The paper does not mention the deposition of HIV sequences in public databases such as GenBank.,No
26246578,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.,The paper does not report the deposition of HIV sequences in public databases.,Not reported
26246578,5,How many individuals had samples obtained for HIV sequencing?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,Not applicable
26246578,6,From which countries were the sequenced samples obtained?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,Not applicable
26246578,7,From what years were the sequenced samples obtained?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,Not applicable
26246578,8,Were samples cloned prior to sequencing?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,Not applicable
26246578,9,Which HIV genes were reported to have been sequenced?,The paper reports on the integrase gene.,The paper focuses on the biochemical and virological characterization of HIV-1 integrase mutations.,IN
26246578,10,What method was used for sequencing?,Not reported.,The paper does not report the sequencing method used.,Not reported
26246578,11,What type of samples were sequenced?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,Not applicable
26246578,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,Not applicable
26246578,13,Were the patients in the study in a clinical trial?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,Not applicable
26246578,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,No
26246578,15,Which drug classes were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,None
26246578,16,Which drugs were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report the collection of HIV sequences from patient samples.,None
26311878,1,Does the paper report HIV sequences from patient samples?,"The paper states that genetic sequencing, genotypic resistance testing, Sanger sequencing, next-generation sequencing, or single-genome sequencing was performed on clinical samples such as plasma, serum, PBMCs, proviral DNA, or dried blood spots.","The paper reports HIV sequences from patient samples, including plasma, serum, PBMCs, proviral DNA, or dried blood spots.",Yes
26311878,2,Does the paper report in vitro drug susceptibility data?,"The paper states that phenotypic susceptibility testing, phenotypic resistance testing, or a drug susceptibility assay was performed.","The paper reports in vitro drug susceptibility data, including IC50, EC50, EC90, fold change in susceptibility, or similar measures.",Yes
26311878,3,Were sequences from the paper made publicly available?,"The paper provides GenBank accession numbers in the Methods, Results, a Supplementary Table, or Data Availability statement.",The paper does not provide GenBank accession numbers or deposition statements.,No
26311878,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper does not provide GenBank accession numbers.,The paper does not provide GenBank accession numbers.,Not reported
26311878,5,How many individuals had samples obtained for HIV sequencing?,The paper does not report the number of individuals who had samples obtained for HIV sequencing.,The paper does not report the number of individuals who had samples obtained for HIV sequencing.,Not reported
26311878,6,From which countries were the sequenced samples obtained?,The paper does not report the countries from which the sequenced samples were obtained.,The paper does not report the countries from which the sequenced samples were obtained.,Not reported
26311878,7,From what years were the sequenced samples obtained?,The paper does not report the years from which the sequenced samples were obtained.,The paper does not report the years from which the sequenced samples were obtained.,Not reported
26311878,8,Were samples cloned prior to sequencing?,The paper states that site-directed mutagenesis was performed on isolates that were sequenced.,The paper does not report cloning prior to sequencing.,Not applicable
26311878,9,Which HIV genes were reported to have been sequenced?,The paper reports that the integrase gene was sequenced.,The paper reports that the integrase gene was sequenced.,IN
26311878,10,What method was used for sequencing?,The paper states that Sanger sequencing was used.,The paper reports that Sanger sequencing was used.,Sanger sequencing
26311878,11,What type of samples were sequenced?,The paper does not report the type of samples that were sequenced.,The paper does not report the type of samples that were sequenced.,Not reported
26311878,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,The paper does not report sequences obtained from individuals with virological failure on a treatment regimen.,The paper does not report sequences obtained from individuals with virological failure on a treatment regimen.,Not applicable
26311878,13,Were the patients in the study in a clinical trial?,The paper does not report that the patients were in a clinical trial.,The paper does not report that the patients were in a clinical trial.,No
26311878,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,The paper reports HIV sequences from individuals who had previously received ARV drugs.,The paper reports HIV sequences from individuals who had previously received ARV drugs.,Yes
26311878,15,Which drug classes were received by individuals in the study before sample sequencing?,The paper reports that the individuals received INSTIs before sample sequencing.,The paper reports that the individuals received INSTIs before sample sequencing.,INSTIs
26311878,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper reports that the individuals received DTG, RAL, and EVG before sample sequencing.","The paper reports that the individuals received DTG, RAL, and EVG before sample sequencing.","DTG, RAL, EVG"
26559830,1,Does the paper report HIV sequences from patient samples?,The paper does not mention HIV sequences from patient samples. It discusses the construction of HIV-2 molecular clones encoding the corresponding wild-type HIV-1 amino acids and the comparison of the phenotypic sensitivities of mutant and wild-type viruses to nine FDA-approved protease inhibitors.,"The paper does not report HIV sequences from patient samples. Instead, it focuses on the construction of molecular clones and the comparison of their phenotypic sensitivities to protease inhibitors.",No
26559830,2,Does the paper report in vitro drug susceptibility data?,The paper reports the susceptibilities of wild-type and mutant HIV-2 molecular clones to nine FDA-approved protease inhibitors in a single-cycle assay.,"The paper reports in vitro drug susceptibility data, specifically the EC50 values for the protease inhibitors tested against the wild-type and mutant HIV-2 molecular clones.",Yes
26559830,3,Were sequences from the paper made publicly available?,The paper does not provide GenBank accession numbers or mention the deposition of sequences in a public database.,The paper does not provide any information about the public availability of the sequences.,No
26559830,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.,The paper does not provide GenBank accession numbers for the sequenced HIV isolates.,Not reported
26559830,5,How many individuals had samples obtained for HIV sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,0
26559830,6,From which countries were the sequenced samples obtained?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
26559830,7,From what years were the sequenced samples obtained?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
26559830,8,Were samples cloned prior to sequencing?,The paper does not mention cloning of samples prior to sequencing.,The paper does not provide information about cloning of samples prior to sequencing.,Not reported
26559830,9,Which HIV genes were reported to have been sequenced?,The paper discusses the protease gene.,The paper focuses on the protease gene and its mutations.,PR
26559830,10,What method was used for sequencing?,Not reported.,The paper does not provide information about the sequencing method used.,Not reported
26559830,11,What type of samples were sequenced?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
26559830,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,Not applicable
26559830,13,Were the patients in the study in a clinical trial?,The paper does not mention a clinical trial.,The paper does not provide information about a clinical trial.,No
26559830,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,No
26559830,15,Which drug classes were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,None
26559830,16,Which drugs were received by individuals in the study before sample sequencing?,Not applicable.,The paper does not report HIV sequences from individuals with HIV.,None
27009474,1,Does the paper report HIV sequences from patient samples?,"The paper states that genetic sequencing was performed on clinical samples from a patient with HIV, and the sequence of the clinical clone has been submitted to the GenBank under the accession number KU761565.","The paper reports that the patient's baseline genotypic resistance test revealed several resistance mutations, and the sequence of the clinical clone was submitted to GenBank. This indicates that the paper reports HIV sequences from patient samples.",Yes
27009474,2,Does the paper report in vitro drug susceptibility data?,"The paper states that phenotypic susceptibility testing was performed using the PhenoSense assay, and the results showed that Q148N ± G140S was associated with 2.4- to 4.5-fold reduced susceptibility to elvitegravir but not to raltegravir or dolutegravir.","The paper reports the results of phenotypic susceptibility testing, which is a type of in vitro drug susceptibility data.",Yes
27009474,3,Were sequences from the paper made publicly available?,The paper states that the sequence of the clinical clone has been submitted to the GenBank under the accession number KU761565.,"The paper reports that the sequence of the clinical clone was submitted to GenBank, which is a public database.",Yes
27009474,4,What were the GenBank accession numbers for sequenced HIV isolates?,The paper states that the sequence of the clinical clone has been submitted to the GenBank under the accession number KU761565.,The paper reports a single GenBank accession number for the sequenced HIV isolate.,KU761565
27009474,5,How many individuals had samples obtained for HIV sequencing?,"The paper states that the patient's baseline genotypic resistance test revealed several resistance mutations, and the sequence of the clinical clone was submitted to GenBank.",The paper reports that only one patient had a sample obtained for HIV sequencing.,1
27009474,6,From which countries were the sequenced samples obtained?,The paper does not report the country where the sample was obtained.,The paper does not provide information on the country where the sample was obtained.,Not reported
27009474,7,From what years were the sequenced samples obtained?,The paper states that the patient underwent HIV-1 seroconversion in August 2014.,The paper reports that the sample was obtained in 2014.,2014
27009474,8,Were samples cloned prior to sequencing?,The paper states that infectious molecular clones were created to assess the effect of the novel mutation Q148N on INSTI susceptibility.,The paper reports that samples were cloned prior to sequencing.,Yes
27009474,9,Which HIV genes were reported to have been sequenced?,The paper states that the patient's baseline genotypic resistance test revealed several resistance mutations in the integrase gene.,The paper reports that the integrase gene was sequenced.,IN
27009474,10,What method was used for sequencing?,The paper does not report the method used for sequencing.,The paper does not provide information on the sequencing method used.,Not reported
27009474,11,What type of samples were sequenced?,"The paper states that the patient's baseline genotypic resistance test revealed several resistance mutations, and the sequence of the clinical clone was submitted to GenBank.",The paper reports that plasma samples were sequenced.,Plasma
