PMID,QID,Question,Type,Category,Answer
26559830,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not mentioned
26559830,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not mentioned
27009474,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
27009474,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
27009474,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes
27009474,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
27009474,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,1
27009474,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
27009474,7,From what years were the sequenced samples obtained?,List,Demographics,2014
27009474,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
27009474,9,Which HIV genes were reported to have been sequenced?,List,Technical,Reverse transcriptase and protease genes
27009474,10,What method was used for sequencing?,List,Technical,Not reported
27009474,11,What type of samples were sequenced?,List,Technical,Plasma samples
27009474,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,No
27009474,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
27009474,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,No
27009474,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NRTIs and INSTIs
27009474,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"Tenofovir, emtricitabine, elvitegravir, and cobicistat"
27124362,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
27124362,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
27124362,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
27124362,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
27124362,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
27124362,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
27124362,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
27124362,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
27124362,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not reported
27124362,10,What method was used for sequencing?,List,Technical,Not reported
27124362,11,What type of samples were sequenced?,List,Technical,Not reported
27124362,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
27124362,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
27124362,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
27124362,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
27124362,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,RPV
28559249,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
28559249,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
28559249,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
28559249,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
28559249,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
28559249,6,From which countries were the sequenced samples obtained?,List,Demographics,West Africa
28559249,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
28559249,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
28559249,9,Which HIV genes were reported to have been sequenced?,List,Technical,RT gene
28559249,10,What method was used for sequencing?,List,Technical,Not reported
28559249,11,What type of samples were sequenced?,List,Technical,Blood or plasma samples
28559249,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
28559249,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
28559249,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
28559249,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NRTIs and PIs
28559249,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"AZT, lamivudine (3TC), and ritonavir-boosted lopinavir"
29373677,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
29373677,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
29373677,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
29373677,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
29373677,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,At least 1
29373677,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
29373677,7,From what years were the sequenced samples obtained?,List,Demographics,2008-2015
29373677,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
29373677,9,Which HIV genes were reported to have been sequenced?,List,Technical,HIV-1
29373677,10,What method was used for sequencing?,List,Technical,Not reported
29373677,11,What type of samples were sequenced?,List,Technical,Blood
29373677,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
29373677,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
29373677,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
29373677,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,INSTIs
29373677,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Raltegravir and tenofovir/emtricitabine (Truvada)
30053052,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
30053052,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
30053052,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Unknown
30053052,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Unknown
30053052,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,51
30053052,6,From which countries were the sequenced samples obtained?,List,Demographics,Sweden
30053052,7,From what years were the sequenced samples obtained?,List,Demographics,Unknown
30053052,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
30053052,9,Which HIV genes were reported to have been sequenced?,List,Technical,RT genes
30053052,10,What method was used for sequencing?,List,Technical,Unknown
30053052,11,What type of samples were sequenced?,List,Technical,Plasma samples
30053052,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
30053052,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Unknown
30053052,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
30053052,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
30053052,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Unknown
30803972,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
30803972,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
30803972,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
30803972,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
30803972,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
30803972,6,From which countries were the sequenced samples obtained?,List,Demographics,West Africa
30803972,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
30803972,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
30803972,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not reported
30803972,10,What method was used for sequencing?,List,Technical,Not reported
30803972,11,What type of samples were sequenced?,List,Technical,Not reported
30803972,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not reported
30803972,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
30803972,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not reported
30803972,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
30803972,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
31988104,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
31988104,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
31988104,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
31988104,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,K03455 and AF324493
31988104,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not explicitly stated
31988104,6,From which countries were the sequenced samples obtained?,List,Demographics,Not mentioned
31988104,7,From what years were the sequenced samples obtained?,List,Demographics,Not mentioned
31988104,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
31988104,9,Which HIV genes were reported to have been sequenced?,List,Technical,"*pol*, *vpr*, *env*, and *nef*"
31988104,10,What method was used for sequencing?,List,Technical,Not mentioned
31988104,11,What type of samples were sequenced?,List,Technical,Patient-derived clinical isolates and site-directed mutants (SDMs)
31988104,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Yes
31988104,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
31988104,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
31988104,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,"NRTIs, INSTIs, and other classes"
31988104,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"TAF, TDF, elvitegravir, cobicistat, and emtricitabine"
32601157,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
32601157,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
32601157,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
32601157,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
32601157,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
32601157,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
32601157,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
32601157,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
32601157,9,Which HIV genes were reported to have been sequenced?,List,Technical,IN gene
32601157,10,What method was used for sequencing?,List,Technical,DNA sequencing
32601157,11,What type of samples were sequenced?,List,Technical,Not reported
32601157,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not reported
32601157,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
32601157,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not reported
32601157,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,INSTIs and NRTIs
32601157,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,DTG and BIC
33855437,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
33855437,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
33855437,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes
33855437,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,"MW484894, MW484895, MW484893, DQ380549"
33855437,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,6
33855437,6,From which countries were the sequenced samples obtained?,List,Demographics,Ethiopia
33855437,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
33855437,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
33855437,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not reported
33855437,10,What method was used for sequencing?,List,Technical,Not reported
33855437,11,What type of samples were sequenced?,List,Technical,Clinical isolates and a recombinant clone
33855437,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not reported
33855437,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
33855437,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not reported
33855437,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
33855437,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
34516245,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,Yes
34516245,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,Yes
34516245,3,Were sequences from the paper made publicly available?,Boolean,Data availability,Yes
34516245,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,OK263149 to OK263162
34516245,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
34516245,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
34516245,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
34516245,8,Were samples cloned prior to sequencing?,Boolean,Technical,Yes
34516245,9,Which HIV genes were reported to have been sequenced?,List,Technical,Reverse transcriptase gene
34516245,10,What method was used for sequencing?,List,Technical,PCR amplification
34516245,11,What type of samples were sequenced?,List,Technical,Viral RNA from supernatants
34516245,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not reported
34516245,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Not reported
34516245,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Yes
34516245,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,NRTIs
34516245,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,"TFV, FTC/3TC, AZT"
35730213,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
35730213,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
35730213,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
35730213,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not available
35730213,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not available
35730213,6,From which countries were the sequenced samples obtained?,List,Demographics,Not available
35730213,7,From what years were the sequenced samples obtained?,List,Demographics,Not available
35730213,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not available
35730213,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not available
35730213,10,What method was used for sequencing?,List,Technical,Not available
35730213,11,What type of samples were sequenced?,List,Technical,Not available
35730213,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not available
35730213,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,Yes
35730213,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not available
35730213,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not available
35730213,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,EFV
35913500,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
35913500,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
35913500,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
35913500,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
35913500,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
35913500,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
35913500,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
35913500,8,Were samples cloned prior to sequencing?,Boolean,Technical,Not reported
35913500,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not reported
35913500,10,What method was used for sequencing?,List,Technical,Not reported
35913500,11,What type of samples were sequenced?,List,Technical,Not reported
35913500,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Possibly
35913500,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
35913500,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Boolean,Treatment,Not reported
35913500,15,Which drug classes were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
35913500,16,Which drugs were received by individuals in the study before sample sequencing?,List,Treatment,Not reported
35945163,1,Does the paper report HIV sequences from patient samples?,Boolean,Data availability,No
35945163,2,Does the paper report in vitro drug susceptibility data?,Boolean,Data availability,No
35945163,3,Were sequences from the paper made publicly available?,Boolean,Data availability,No
35945163,4,What were the GenBank accession numbers for sequenced HIV isolates?,List,Data availability,Not reported
35945163,5,How many individuals had samples obtained for HIV sequencing?,Number,Data availability,Not reported
35945163,6,From which countries were the sequenced samples obtained?,List,Demographics,Not reported
35945163,7,From what years were the sequenced samples obtained?,List,Demographics,Not reported
35945163,8,Were samples cloned prior to sequencing?,Boolean,Technical,No
35945163,9,Which HIV genes were reported to have been sequenced?,List,Technical,Not reported
35945163,10,What method was used for sequencing?,List,Technical,Not reported
35945163,11,What type of samples were sequenced?,List,Technical,Not reported
35945163,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Boolean,Treatment,Not reported
35945163,13,Were the patients in the study in a clinical trial?,Boolean,Treatment,No
